mysql: [Warning] Using a password on the command line interface can be insecure.
Main	start	elapsed	start_exec	end	CONCAT('consumers',@consumers)
Main	0	116433	1545670131738	116433	consumers2
Service	474	4829	1545670132212	5303	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	640	961	1545670132378	1601	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	677	1031	1545670132415	1708	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	1821	735	1545670133559	2556	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	2082	1347	1545670133820	3429	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	2657	813	1545670134395	3470	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	3575	742	1545670135313	4317	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	4072	1359	1545670135810	5431	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	4411	783	1545670136149	5194	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	5297	523	1545670137035	5820	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	5887	681	1545670137625	6568	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	5900	941	1545670137638	6841	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	6699	565	1545670138437	7264	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	7317	598	1545670139055	7915	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	7338	902	1545670139076	8240	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	8020	653	1545670139758	8673	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	8698	683	1545670140436	9381	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	8733	726	1545670140471	9459	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	9488	708	1545670141226	10196	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	9878	746	1545670141616	10624	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	10259	447	1545670141997	10706	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	10754	640	1545670142492	11394	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	11007	1034	1545670142745	12041	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	11463	581	1545670143201	12044	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	12229	787	1545670143967	13016	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	12404	901	1545670144142	13305	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	13062	729	1545670144800	13791	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	13723	862	1545670145461	14585	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	13856	671	1545670145594	14527	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	14614	897	1545670146352	15511	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	14966	704	1545670146704	15670	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	15584	807	1545670147322	16391	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	16015	868	1545670147753	16883	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	16488	778	1545670148226	17266	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	17213	908	1545670148951	18121	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	17327	787	1545670149065	18114	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	18200	690	1545670149938	18890	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	18517	819	1545670150255	19336	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	18995	808	1545670150733	19803	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	19815	990	1545670151553	20805	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	19851	618	1545670151589	20469	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	20539	688	1545670152277	21227	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	21203	828	1545670152941	22031	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	21353	554	1545670153091	21907	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	22052	455	1545670153790	22507	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	22458	1017	1545670154196	23475	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	22573	505	1545670154311	23078	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	23136	664	1545670154874	23800	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	23851	601	1545670155589	24452	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	23922	1201	1545670155660	25123	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	24524	847	1545670156262	25371	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	25469	613	1545670157207	26082	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	25488	1083	1545670157226	26571	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	26154	589	1545670157892	26743	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	26831	585	1545670158569	27416	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	26887	1004	1545670158625	27891	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	27465	559	1545670159203	28024	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	28162	664	1545670159900	28826	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	28206	859	1545670159944	29065	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	28884	878	1545670160622	29762	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	29420	903	1545670161158	30323	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	29872	579	1545670161610	30451	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	30536	698	1545670162274	31234	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	30739	797	1545670162477	31536	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	31297	969	1545670163035	32266	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	31916	1272	1545670163654	33188	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	32319	335	1545670164057	32654	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	32703	571	1545670164441	33274	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	33408	802	1545670165146	34210	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	33468	857	1545670165206	34325	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	34368	528	1545670166106	34896	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	34968	982	1545670166706	35950	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	35051	1296	1545670166789	36347	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	36055	1341	1545670167793	37396	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	36807	1112	1545670168545	37919	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	37471	894	1545670169209	38365	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	38361	889	1545670170099	39250	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	38419	693	1545670170157	39112	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	39213	585	1545670170951	39798	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	39452	897	1545670171190	40349	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	39907	524	1545670171645	40431	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	40506	582	1545670172244	41088	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	40941	1210	1545670172679	42151	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	41235	965	1545670172973	42200	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	42269	927	1545670174007	43196	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	42491	893	1545670174229	43384	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	43312	854	1545670175050	44166	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	43844	891	1545670175582	44735	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	44230	716	1545670175968	44946	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	45022	647	1545670176760	45669	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	45319	990	1545670177057	46309	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	45798	1009	1545670177536	46807	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	46863	1108	1545670178601	47971	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	46877	407	1545670178615	47284	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	47411	678	1545670179149	48089	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	48168	789	1545670179906	48957	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	48505	876	1545670180243	49381	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	49032	616	1545670180770	49648	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	49726	950	1545670181464	50676	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	49814	876	1545670181552	50690	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	50771	801	1545670182509	51572	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	51339	890	1545670183077	52229	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	51649	656	1545670183387	52305	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	52370	806	1545670184108	53176	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	52556	1100	1545670184294	53656	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	53237	630	1545670184975	53867	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	53922	844	1545670185660	54766	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	53985	837	1545670185723	54822	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	54893	629	1545670186631	55522	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	55150	1167	1545670186888	56317	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	55552	592	1545670187290	56144	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	56257	776	1545670187995	57033	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	56765	938	1545670188503	57703	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	57116	638	1545670188854	57754	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	57969	848	1545670189707	58817	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	58098	913	1545670189836	59011	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	58926	1037	1545670190664	59963	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	59318	1118	1545670191056	60436	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	60017	746	1545670191755	60763	consumers2
Workere5c2bef6-5791-4fd1-95d6-c64715bfd4e3	60881	1062	1545670192619	61943	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	60942	662	1545670192680	61604	consumers2
Workercfa967f7-9f68-4a7d-821e-4d86ba407876	61674	799	1545670193412	62473	consumers2
